STATE/UT,CRIME HEAD,Year,Crime Count
Nagaland,RAPE,2005,17
Odisha,RAPE,2005,799
Punjab,RAPE,2005,398
Rajasthan,RAPE,2005,993
Sikkim,RAPE,2005,18
Tamil Nadu,RAPE,2005,571
Tripura,RAPE,2005,162
Uttar Pradesh,RAPE,2005,1217
Uttarakhand,RAPE,2005,133
West Bengal,RAPE,2005,1686
A&N Islands,RAPE,2005,4
Chandigarh,RAPE,2005,33
D&N Haveli,RAPE,2005,5
Daman & Diu,RAPE,2005,2
Delhi UT,RAPE,2005,658
Lakshadweep,RAPE,2005,0
Puducherry,RAPE,2005,6
All India,RAPE,2005,18359
Andhra Pradesh,RAPE,2006,1049
Arunachal Pradesh,RAPE,2006,37
Assam,RAPE,2006,1244
Bihar,RAPE,2006,1232
Chhattisgarh,RAPE,2006,995
Goa,RAPE,2006,21
Gujarat,RAPE,2006,354
Haryana,RAPE,2006,608
Himachal Pradesh,RAPE,2006,113
Jammu & Kashmir,RAPE,2006,250
Jharkhand,RAPE,2006,799
Karnataka,RAPE,2006,400
Kerala,RAPE,2006,601
Madhya Pradesh,RAPE,2006,2900
Maharashtra,RAPE,2006,1500
Manipur,RAPE,2006,40
Meghalaya,RAPE,2006,74
Mizoram,RAPE,2006,72
Nagaland,RAPE,2006,23
Odisha,RAPE,2006,985
Punjab,RAPE,2006,442
Rajasthan,RAPE,2006,1085
Sikkim,RAPE,2006,20
Tamil Nadu,RAPE,2006,457
Tripura,RAPE,2006,189
Uttar Pradesh,RAPE,2006,1314
Uttarakhand,RAPE,2006,147
West Bengal,RAPE,2006,1731
A&N Islands,RAPE,2006,6
Chandigarh,RAPE,2006,19
D&N Haveli,RAPE,2006,6
Daman & Diu,RAPE,2006,3
Delhi UT,RAPE,2006,623
Lakshadweep,RAPE,2006,0
Puducherry,RAPE,2006,9
All India,RAPE,2006,19348
Andhra Pradesh,RAPE,2007,1070
Arunachal Pradesh,RAPE,2007,48
Assam,RAPE,2007,1437
Bihar,RAPE,2007,1555
Chhattisgarh,RAPE,2007,982
Goa,RAPE,2007,20
Gujarat,RAPE,2007,316
Haryana,RAPE,2007,488
Himachal Pradesh,RAPE,2007,159
Jammu & Kashmir,RAPE,2007,288
Jharkhand,RAPE,2007,855
Karnataka,RAPE,2007,436
Kerala,RAPE,2007,512
Madhya Pradesh,RAPE,2007,3010
Maharashtra,RAPE,2007,1451
Manipur,RAPE,2007,20
Meghalaya,RAPE,2007,82
Mizoram,RAPE,2007,83
Nagaland,RAPE,2007,13
Odisha,RAPE,2007,939
Punjab,RAPE,2007,519
Rajasthan,RAPE,2007,1238
Sikkim,RAPE,2007,24
Tamil Nadu,RAPE,2007,523
Tripura,RAPE,2007,157
Uttar Pradesh,RAPE,2007,1648
Uttarakhand,RAPE,2007,117
West Bengal,RAPE,2007,2106
A&N Islands,RAPE,2007,3
Chandigarh,RAPE,2007,22
D&N Haveli,RAPE,2007,7
Daman & Diu,RAPE,2007,1
Delhi UT,RAPE,2007,598
Lakshadweep,RAPE,2007,1
Puducherry,RAPE,2007,9
All India,RAPE,2007,20737
Andhra Pradesh,RAPE,2008,1257
Arunachal Pradesh,RAPE,2008,42
Assam,RAPE,2008,1438
Bihar,RAPE,2008,1302
Chhattisgarh,RAPE,2008,978
Goa,RAPE,2008,30
Gujarat,RAPE,2008,374
Haryana,RAPE,2008,631
Himachal Pradesh,RAPE,2008,157
Jammu & Kashmir,RAPE,2008,219
Jharkhand,RAPE,2008,791
Karnataka,RAPE,2008,446
Kerala,RAPE,2008,568
Madhya Pradesh,RAPE,2008,2937
Maharashtra,RAPE,2008,1558
Manipur,RAPE,2008,38
Meghalaya,RAPE,2008,88
Mizoram,RAPE,2008,77
Nagaland,RAPE,2008,19
Odisha,RAPE,2008,1113
Punjab,RAPE,2008,517
Rajasthan,RAPE,2008,1355
Sikkim,RAPE,2008,20
Tamil Nadu,RAPE,2008,573
Tripura,RAPE,2008,204
Uttar Pradesh,RAPE,2008,1871
Uttarakhand,RAPE,2008,87
West Bengal,RAPE,2008,2263
A&N Islands,RAPE,2008,12
Chandigarh,RAPE,2008,20
D&N Haveli,RAPE,2008,6
Daman & Diu,RAPE,2008,0
Delhi UT,RAPE,2008,466
Lakshadweep,RAPE,2008,2
Puducherry,RAPE,2008,8
All India,RAPE,2008,21467
Andhra Pradesh,RAPE,2009,1188
